,Word,New POS,Frequency
482,ii,Noun,1
484,met,Verb,1
486,wouldnt,Noun,1
487,whether,Noun,1
488,name,Verb,1
490,startup,Noun,1
492,according,Verb,1
504,spent,Noun,1
511,whatsoever,Noun,1
479,fine,Verb,1
512,always,Adverb,1
514,200,Other,1
516,admiral,Noun,1
518,endorsing,Verb,1
519,congressional,Adjective,1
520,medal,Noun,1
521,honor,Noun,1
522,recipient,Noun,1
481,condemn,Verb,1
476,excuse,Other,1
423,putin,Verb,1
442,know,Adjective,1
424,finish,Verb,1
425,pour,Verb,1
428,550,Other,1
433,radical,Adjective,1
434,islamic,Noun,1
435,terrorism,Noun,1
439,word,Noun,1
440,neither,Other,1
451,trouble,Noun,1
467,whether,Other,1
453,warheads1800,Noun,1
454,waywhere,Noun,1
455,expanded,Verb,1
457,1800,Other,1
459,playing,Verb,1
460,chicken,Adjective,1
463,person,Noun,1
465,no,Adverb,1
303,candidate,Noun,1
295,agent,Verb,1
528,thewere,Adjective,1
293,borderas,Noun,1
106,conservative,Adjective,1
107,bent,Noun,1
111,scholar,Noun,1
115,interpret,Verb,1
118,founder,Noun,1
120,interpreted,Verb,1
121,thats,Adjective,1
123,appointed,Verb,1
124,decide,Verb,1
126,hear,Verb,1
127,ofofand,Noun,1
128,meant,Verb,1
131,dc,Noun,1
132,v,Noun,1
133,heller,Noun,1
135,stronglyand,Adjective,1
138,watched,Verb,1
141,upheld,Noun,1
142,scalia,Noun,1
104,prolife,Verb,1
101,themthe,Noun,1
99,named,Verb,1
49,represent,Verb,1
11,thank,Verb,1
12,everybody,Verb,1
22,soits,Adjective,1
24,imperative,Adjective,1
30,something,Verb,1
32,recently,Adverb,1
34,ginsburg,Noun,1
38,inappropriate,Adjective,1
52,forced,Verb,1
97,appointand,Verb,1
72,absolute,Adjective,1
73,siege,Noun,1
76,opponent,Noun,1
79,race,Noun,1
80,truly,Verb,1
81,dont,Adjective,1
86,replica,Noun,1
95,trauma,Noun,1
143,involved,Adjective,1
144,wellcrafted,Adjective,1
155,further,Adverb,1
266,tonight,Noun,1
238,birth,Noun,1
240,ok,Verb,1
241,ok,Adjective,1
244,final,Adjective,1
246,acceptable,Adjective,1
253,late,Adverb,1
256,birth,Verb,1
265,audience,Noun,1
267,ofi,Verb,1
222,putting,Verb,1
268,mean,Adjective,1
269,unbelievable,Adjective,1
273,whose,Other,1
274,child,Noun,1
276,brutally,Adverb,1
281,father,Noun,1
282,relative,Verb,1
291,amnesty,Adjective,1
223,prolife,Noun,1
221,automatically,Adverb,1
168,gun,Adjective,1
194,honored,Verb,1
175,supporter,Noun,1
176,ami,Verb,1
177,dont,Adverb,1
180,sarcastic,Adjective,1
181,manner,Noun,1
182,proud,Adverb,1
184,nra,Noun,1
185,earliest,Adjective,1
195,justicesthis,Noun,1
220,thatll,Verb,1
200,damage,Noun,1
204,appointing,Verb,1
205,judge,Noun,1
207,individual,Adjective,1
208,overturned,Verb,1
213,perhaps,Adverb,1
218,whats,Verb,1
219,bethat,Verb,1
525,ripped,Verb,1
529,defending,Verb,1
853,businessoff,Noun,1
691,transpacific,Noun,1
738,asset,Noun,1
739,anywhere,Adverb,1
740,worth,Verb,1
741,billion,Noun,1
747,phenomenal,Adjective,1
748,proud,Adjective,1
749,proud,Noun,1
751,real,Adjective,1
755,libya,Noun,1
762,whenwe,Noun,1
764,sure,Adjective,1
768,listen,Verb,1
772,debunked,Verb,1
773,peoplei,Adjective,1
774,feeling,Noun,1
777,clip,Noun,1
778,wondering,Verb,1
781,hired,Verb,1
782,peoplethey,Noun,1
735,break,Noun,1
732,stolen,Verb,1
731,miss,Verb,1
711,turn,Noun,1
697,debate,Noun,1
700,factchecked,Verb,1
701,honored,Adjective,1
702,saylet,Verb,1
704,simple,Adjective,1
707,hell,Noun,1
709,15,Other,1
710,involvedexcuse,Other,1
713,aspect,Noun,1
730,missing,Verb,1
715,experience,Adverb,1
716,youve,Noun,1
718,badly,Adverb,1
719,youve,Adverb,1
722,steel,Noun,1
724,imake,Noun,1
725,impossible,Adjective,1
726,wouldnt,Verb,1
784,1500,Other,1
787,violent,Adjective,1
788,cause,Noun,1
836,lying,Verb,1
825,subpoena,Noun,1
829,fourstar,Noun,1
830,read,Verb,1
831,paper,Noun,1
832,potentially,Adverb,1
833,serve,Verb,1
834,five,Other,1
835,jail,Noun,1
838,jail,Verb,1
822,destroyed,Verb,1
839,fourstar,Adjective,1
840,away,Adverb,1
843,crooked,Adjective,1
845,love,Noun,1
847,studied,Verb,1
850,qatar,Noun,1
851,push,Noun,1
852,gay,Noun,1
823,33000,Other,1
820,isnt,Verb,1
789,fight,Noun,1
805,particular,Adjective,1
791,waybecause,Noun,1
793,wife,Noun,1
795,thesei,Noun,1
797,womenthe,Adjective,1
799,thei,Noun,1
801,saw,Verb,1
803,telling,Verb,1
804,fistfight,Noun,1
806,hurt,Verb,1
819,sleazy,Adjective,1
807,riot,Noun,1
808,step,Verb,1
809,forward,Adverb,1
812,minute,Noun,1
813,totallyit,Noun,1
815,debunked,Adjective,1
816,slightly,Adverb,1
818,possibly,Adverb,1
692,partnership,Noun,1
690,sign,Verb,1
530,spending,Verb,1
689,boy,Noun,1
587,since,Other,1
588,thisthis,Noun,1
589,agoall,Noun,1
591,lota,Adjective,1
592,credit,Noun,1
593,starting,Verb,1
595,fan,Noun,1
598,awfully,Adverb,1
599,hard,Adjective,1
600,somebody,Verb,1
602,his,Other,1
604,obamas,Noun,1
606,national,Adjective,1
607,debt,Noun,1
608,planwere,Noun,1
612,sucked,Verb,1
614,pennsylvania,Noun,1
615,ohio,Noun,1
617,upstate,Adjective,1
586,werent,Verb,1
585,questionedwhy,Other,1
584,arent,Verb,1
550,liar,Noun,1
531,fortune,Noun,1
